CodigoCNES,NomeFantasia,codigo_tratado,nome_tratado
"OrderedDict([('codigo', '6628680')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO ANDRE LUIZ MARINHO FALCAO GODIM')])",6628680,CONSULTORIO ODONTOLOGICO ANDRE LUIZ MARINHO FALCAO GODIM
"OrderedDict([('codigo', '6494226')])","OrderedDict([('Nome', 'CONSULTORIO DE NUTRICAO DRA AMELIA NOBREGA')])",6494226,CONSULTORIO DE NUTRICAO DRA AMELIA NOBREGA
"OrderedDict([('codigo', '5844029')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO DRA MARIA SARA')])",5844029,CONSULTORIO ODONTOLOGICO DRA MARIA SARA
"OrderedDict([('codigo', '6705057')])","OrderedDict([('Nome', 'FVPJ')])",6705057,FVPJ
"OrderedDict([('codigo', '6420915')])","OrderedDict([('Nome', 'DELFIN IMAGEM')])",6420915,DELFIN IMAGEM
"OrderedDict([('codigo', '6456758')])","OrderedDict([('Nome', 'CONSULTORIO VIVYANNE FARIAS')])",6456758,CONSULTORIO VIVYANNE FARIAS
"OrderedDict([('codigo', '6458173')])","OrderedDict([('Nome', 'CONSULTORIO DR EVILSON MACIEL')])",6458173,CONSULTORIO DR EVILSON MACIEL
"OrderedDict([('codigo', '6461115')])","OrderedDict([('Nome', 'CLINICA APODI')])",6461115,CLINICA APODI
"OrderedDict([('codigo', '6462979')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO THIAGO GOMES DA TRINDADE')])",6462979,CONSULTORIO MEDICO THIAGO GOMES DA TRINDADE
"OrderedDict([('codigo', '6459366')])","OrderedDict([('Nome', 'CONSULTORIO DRA ROZINEIDE')])",6459366,CONSULTORIO DRA ROZINEIDE
"OrderedDict([('codigo', '6658350')])","OrderedDict([('Nome', 'CONSULTORIO DRA REGINA DANTAS')])",6658350,CONSULTORIO DRA REGINA DANTAS
"OrderedDict([('codigo', '6571913')])","OrderedDict([('Nome', 'CONSULTOPRIO MEDICO DRA NILMA EVANGELISTA')])",6571913,CONSULTOPRIO MEDICO DRA NILMA EVANGELISTA
"OrderedDict([('codigo', '5842018')])","OrderedDict([('Nome', 'CONSULTORIO DRA ONEIDE MARIA')])",5842018,CONSULTORIO DRA ONEIDE MARIA
"OrderedDict([('codigo', '6672280')])","OrderedDict([('Nome', 'AMA PSICOLOGIA CLINICA')])",6672280,AMA PSICOLOGIA CLINICA
"OrderedDict([('codigo', '4013468')])","OrderedDict([('Nome', 'CENTRO CLINICO DR JOSE CARLOS PASSOS')])",4013468,CENTRO CLINICO DR JOSE CARLOS PASSOS
"OrderedDict([('codigo', '2656574')])","OrderedDict([('Nome', 'CENTRO DE PATOLOGIA CLINICA')])",2656574,CENTRO DE PATOLOGIA CLINICA
"OrderedDict([('codigo', '2408686')])","OrderedDict([('Nome', 'CENTRO DE REF DE ATENCAO AO IDOSO')])",2408686,CENTRO DE REF DE ATENCAO AO IDOSO
"OrderedDict([('codigo', '2408228')])","OrderedDict([('Nome', 'USF DA REDINHA')])",2408228,USF DA REDINHA
"OrderedDict([('codigo', '2408805')])","OrderedDict([('Nome', 'UBS MIRASSOL')])",2408805,UBS MIRASSOL
"OrderedDict([('codigo', '2408767')])","OrderedDict([('Nome', 'USF PASSO DA PATRIA')])",2408767,USF PASSO DA PATRIA
"OrderedDict([('codigo', '2653915')])","OrderedDict([('Nome', 'CENTRO ODONT E PRONTO ATEND DR MORTON DE FARIA')])",2653915,CENTRO ODONT E PRONTO ATEND DR MORTON DE FARIA
"OrderedDict([('codigo', '2656841')])","OrderedDict([('Nome', 'CLIEND II')])",2656841,CLIEND II
"OrderedDict([('codigo', '2766566')])","OrderedDict([('Nome', 'CARDIOCENTRO SAO LUCAS')])",2766566,CARDIOCENTRO SAO LUCAS
"OrderedDict([('codigo', '2679914')])","OrderedDict([('Nome', 'CENTRO CLINICO ODONTOLOGICO FUNDAC')])",2679914,CENTRO CLINICO ODONTOLOGICO FUNDAC
"OrderedDict([('codigo', '2408996')])","OrderedDict([('Nome', 'CENTRO DE RADIOLOGIA DE NATAL')])",2408996,CENTRO DE RADIOLOGIA DE NATAL
"OrderedDict([('codigo', '2408333')])","OrderedDict([('Nome', 'USF BELA VISTA')])",2408333,USF BELA VISTA
"OrderedDict([('codigo', '2408856')])","OrderedDict([('Nome', 'UBS JIQUI')])",2408856,UBS JIQUI
"OrderedDict([('codigo', '2408821')])","OrderedDict([('Nome', 'POLICLINICA SUL')])",2408821,POLICLINICA SUL
"OrderedDict([('codigo', '2408813')])","OrderedDict([('Nome', 'UBS PIRANGI')])",2408813,UBS PIRANGI
"OrderedDict([('codigo', '2656663')])","OrderedDict([('Nome', 'CLIEND I')])",2656663,CLIEND I
"OrderedDict([('codigo', '2656744')])","OrderedDict([('Nome', 'CAPEC LABORATORIOS')])",2656744,CAPEC LABORATORIOS
"OrderedDict([('codigo', '2679922')])","OrderedDict([('Nome', 'CASA DA CRIANCA E DO ADOLESCENTE DEFICIENTE')])",2679922,CASA DA CRIANCA E DO ADOLESCENTE DEFICIENTE
"OrderedDict([('codigo', '6532888')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO DR FRANCISCO JOSE')])",6532888,CONSULTORIO ODONTOLOGICO DR FRANCISCO JOSE
"OrderedDict([('codigo', '6674402')])","OrderedDict([('Nome', 'CONSULTORIO CRA HELOISA COSTA')])",6674402,CONSULTORIO CRA HELOISA COSTA
"OrderedDict([('codigo', '3660508')])","OrderedDict([('Nome', 'CONSULTORIO DRA MARGARIDA MARIA DE MELO')])",3660508,CONSULTORIO DRA MARGARIDA MARIA DE MELO
"OrderedDict([('codigo', '3662810')])","OrderedDict([('Nome', 'CONSULTORIO DRA WILMA SANTIAGO')])",3662810,CONSULTORIO DRA WILMA SANTIAGO
"OrderedDict([('codigo', '2693666')])","OrderedDict([('Nome', 'OTOMED')])",2693666,OTOMED
"OrderedDict([('codigo', '4013646')])","OrderedDict([('Nome', 'CARDIOCLINICA DR OVIDIO FERNANDES')])",4013646,CARDIOCLINICA DR OVIDIO FERNANDES
"OrderedDict([('codigo', '2380420')])","OrderedDict([('Nome', 'CLINICA SAO MARCOS LTDA')])",2380420,CLINICA SAO MARCOS LTDA
"OrderedDict([('codigo', '6142117')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICA DRA ZORAIDE MELO')])",6142117,CONSULTORIO ODONTOLOGICA DRA ZORAIDE MELO
"OrderedDict([('codigo', '5521165')])","OrderedDict([('Nome', 'CONSULTORIO BIANCA TAVARES RANGEL')])",5521165,CONSULTORIO BIANCA TAVARES RANGEL
"OrderedDict([('codigo', '2766531')])","OrderedDict([('Nome', 'SKOPIA CLINICA')])",2766531,SKOPIA CLINICA
"OrderedDict([('codigo', '7408765')])","OrderedDict([('Nome', 'UPA 24H ESPERANCA')])",7408765,UPA 24H ESPERANCA
"OrderedDict([('codigo', '3456765')])","OrderedDict([('Nome', 'CLIO')])",3456765,CLIO
"OrderedDict([('codigo', '3052338')])","OrderedDict([('Nome', 'INSTITUTO DA VISAO')])",3052338,INSTITUTO DA VISAO
"OrderedDict([('codigo', '3052435')])","OrderedDict([('Nome', 'CLINICA DR EUCLIDES GURJAO')])",3052435,CLINICA DR EUCLIDES GURJAO
"OrderedDict([('codigo', '3058921')])","OrderedDict([('Nome', 'PROCARDIO')])",3058921,PROCARDIO
"OrderedDict([('codigo', '3144933')])","OrderedDict([('Nome', 'CLINICA ANTHROPOS')])",3144933,CLINICA ANTHROPOS
"OrderedDict([('codigo', '3181588')])","OrderedDict([('Nome', 'CLINICA DE DESENVOLVIMENTO E REABILITACAO')])",3181588,CLINICA DE DESENVOLVIMENTO E REABILITACAO
"OrderedDict([('codigo', '3189031')])","OrderedDict([('Nome', 'CLINICA DR JOSE AMERICO')])",3189031,CLINICA DR JOSE AMERICO
"OrderedDict([('codigo', '3139891')])","OrderedDict([('Nome', 'CLINICA JOSE MARINHO')])",3139891,CLINICA JOSE MARINHO
"OrderedDict([('codigo', '3144860')])","OrderedDict([('Nome', 'CLINICA ODONTOLOGICA CAVALCANTI MELO')])",3144860,CLINICA ODONTOLOGICA CAVALCANTI MELO
"OrderedDict([('codigo', '3137937')])","OrderedDict([('Nome', 'CLINICA PROVIDA')])",3137937,CLINICA PROVIDA
"OrderedDict([('codigo', '3055965')])","OrderedDict([('Nome', 'CLINICA VIVER')])",3055965,CLINICA VIVER
"OrderedDict([('codigo', '3179621')])","OrderedDict([('Nome', 'ENDOCLINICA ENDOSCOPIA CIRURGICA DO APARELHO DIDESTIVO')])",3179621,ENDOCLINICA ENDOSCOPIA CIRURGICA DO APARELHO DIDESTIVO
"OrderedDict([('codigo', '3117154')])","OrderedDict([('Nome', 'FISIOCLINICA')])",3117154,FISIOCLINICA
"OrderedDict([('codigo', '3200191')])","OrderedDict([('Nome', 'GASTRONUTRI')])",3200191,GASTRONUTRI
"OrderedDict([('codigo', '3167879')])","OrderedDict([('Nome', 'NUTRIVIDA')])",3167879,NUTRIVIDA
"OrderedDict([('codigo', '3184595')])","OrderedDict([('Nome', 'USF PLANICIE DAS MANGUEIRAS')])",3184595,USF PLANICIE DAS MANGUEIRAS
"OrderedDict([('codigo', '7213875')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO DR MAURILTON MORAIS')])",7213875,CONSULTORIO MEDICO DR MAURILTON MORAIS
"OrderedDict([('codigo', '7213891')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO DRA CIBELE')])",7213891,CONSULTORIO MEDICO DRA CIBELE
"OrderedDict([('codigo', '6247725')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO DRA MONICA REIS')])",6247725,CONSULTORIO ODONTOLOGICO DRA MONICA REIS
"OrderedDict([('codigo', '6255604')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO DRA ANA PAULA')])",6255604,CONSULTORIO ODONTOLOGICO DRA ANA PAULA
"OrderedDict([('codigo', '6265162')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO DR LISSANDRO BARROS')])",6265162,CONSULTORIO MEDICO DR LISSANDRO BARROS
